Bevölkerung nach Alter, Geschlecht und Gemeinden, 2012-2015 | population by age, sex and lau2, 2012-2015;;;;;;;;;
NUTS1;NUTS2;NUTS3;LAU2_CODE;LAU2_NAME;AGE_GROUP;POP_TOTAL;POP_MALE;POP_FEMALE;YEAR
AT1;AT12;AT121;30506;Behamberg;85_89;45;15;30;2015
AT1;AT12;AT121;30506;Behamberg;90_94;10;2;8;2015
AT1;AT12;AT121;30506;Behamberg;95_;2;1;1;2015
AT1;AT12;AT121;30507;Biberbach;0_4;122;64;58;2015
AT1;AT12;AT121;30507;Biberbach;5_9;128;70;58;2015
AT1;AT12;AT121;30507;Biberbach;10_14;138;70;68;2015
AT1;AT12;AT121;30507;Biberbach;15_19;146;73;73;2015
AT1;AT12;AT121;30507;Biberbach;20_24;172;92;80;2015
AT1;AT12;AT121;30507;Biberbach;25_29;141;65;76;2015
AT1;AT12;AT121;30507;Biberbach;30_34;166;84;82;2015
AT1;AT12;AT121;30507;Biberbach;35_39;146;73;73;2015
AT1;AT12;AT121;30507;Biberbach;40_44;140;72;68;2015
AT1;AT12;AT121;30507;Biberbach;45_49;160;86;74;2015
AT1;AT12;AT121;30507;Biberbach;50_54;203;96;107;2015
AT1;AT12;AT121;30507;Biberbach;55_59;140;74;66;2015
AT1;AT12;AT121;30507;Biberbach;60_64;103;57;46;2015
AT1;AT12;AT121;30507;Biberbach;65_69;78;38;40;2015
AT1;AT12;AT121;30507;Biberbach;70_74;77;36;41;2015
AT1;AT12;AT121;30507;Biberbach;75_79;70;31;39;2015
AT1;AT12;AT121;30507;Biberbach;80_84;61;33;28;2015
AT1;AT12;AT121;30507;Biberbach;85_89;44;12;32;2015
AT1;AT12;AT121;30507;Biberbach;90_94;12;3;9;2015
AT1;AT12;AT121;30507;Biberbach;95_;1;0;1;2015
AT1;AT12;AT121;30508;Ennsdorf;0_4;155;81;74;2015
AT1;AT12;AT121;30508;Ennsdorf;5_9;182;104;78;2015
